customerId,ssn,fullName,age,city,postalCode,street,registrationDate
"01GWGKK80Y16410TWCNAZK7F50",410956152,"Jeffery Rodriguez",50,"Khartoum","V7T 1G1","80 Pine Road","2023-03-28"
"01GWGKK80Y7SJSKT1BT1HWZC4E",118581281,"Luis Banks",57,"Dallas","M5S 1T7","59 Oak Lane","2023-03-28"
"01GWGKK80Y833P5NNZMZXJA3AN",803786283,"Norman Welch",39,"Barcelona","T2T 2Y5","40 Birch Drive","2023-03-28"
"01GWGKK80YGR0032VRP01MS1BE",331557426,"Christopher Martinez",21,"Belém","V5Z 1J4","13 Maple Court","2023-03-28"
"01GWGKK80YWAWDWWQ2VK4TCA3Y",937414390,"Monica Smith",38,"Houston-Sugar Land-Baytown","L6S 5P8","23 Willow Way","2023-03-28"
"01GWGKK80Z20VQBVFF2AJSP8FG",372466998,"Kathleen Williams",22,"Kolkata","L1S 4S6","54 Ash Circle","2023-03-28"
"01GWGKK80Z2KN0J6T9PTFYZB55",624358176,"Eric Hansen",51,"St. Petersburg","L3T 5N5","34 Laurel Boulevard","2023-03-28"
"01GWGKK80Z7F74QBK4NVZ804CV",569674182,"April Simmons",33,"Sydney","M5R 2E2","44 Sycamore Place","2023-03-28"
"01GWGKK80ZBDPWECY0TWFQ1A2H",104472873,"Chad Parsons",41,"Kampala","V6B 1G1","47 Cedar Street","2023-03-28"
"01GWGKK80ZEFZEXPHCV1VZPYGB",983491382,"Donald Frazier",48,"Santiago","T3K 5L5","21 Elm Avenue","2023-03-28"
"01GWGKK80ZHRBMYFY8PFY72HQD",773688004,"Adam Brown",26,"Dakar","L5R 2E6","72 Pine Road","2023-03-28"
"01GWGKK80ZKESKYZCERFCNT1Y6",417883394,"Krista Parker",30,"Mogadishu","V5H 4M2","57 Oak Lane","2023-03-28"
"01GWGKK80ZM9DNXTM7K6HFT1QW",186907802,"Kelly Davis",53,"Nairobi","L1S 6V4","39 Birch Drive","2023-03-28"
"01GWGKK80ZNMRBHSS62ZSTRFV0",690138473,"Kenneth Cannon",20,"Addis Ababa","T2V 0M4","12 Maple Court","2023-03-28"
"01GWGKK8102XCJET3GAPBAA70S",384616362,"Heather Love",44,"Dar es Salaam","M5S 2E6","29 Willow Way","2023-03-28"
"01GWGKK8102Z8AS42ZT8Y49GGW",385364575,"Stephen Brown",35,"Abidjan","V7T 1H9","59 Ash Circle","2023-03-28"
"01GWGKK810E4PKVYQBGN1B04SY",764763010,"Cameron Robinson",38,"Brisbane","V7V 1H9","32 Laurel Boulevard","2023-03-28"
"01GWGKK810F9TBYH7X4M9JDT8N",862759027,"Mrs. Jennifer Soto",22,"Johannesburg","T5J 3S4","42 Sycamore Place","2023-03-28"
"01GWGKK810J3AJ4J2WVBCKGA3N",331899748,"Isabella Jones",51,"Cape Town","L5R 3N8","50 Cedar Street","2023-03-28"
"01GWGKK810K4MG9V922SEX5Y0H",249542248,"Jessica Moreno",33,"Durban","V1Y 9N2","17 Elm Avenue","2023-03-28"
"01GWGKK810QPKJW28321DXBS79",382081942,"Thomas Hart",41,"Kiev","M5J 2N8","75 Pine Road","2023-03-28"
"01GWGKK810T2Z9HA4JMXYAT556",596623308,"Amanda Edwards",48,"Rome","V5N 1J1","60 Oak Lane","2023-03-28"
"01GWGKK810TCKDNMQFYC2WGPEJ",540521791,"Emily Miller",26,"Singapore","V3R 6N7","45 Birch Drive","2023-03-28"
"01GWGKK810TZPVTG461ZA7XPHQ",157867021,"Leonard Cooke",30,"Toronto","L6P 2P9","18 Maple Court","2023-03-28"
"01GWGKK810Z2J4AH8PF7EV31MS",426080052,"Emily Harris",53,"Berlin","T2J 5E5","28 Willow Way","2023-03-28"
"01GWGKK810ZAXYR018X9E6RCH2",818835541,"Misty Carlson",20,"Montreal","L5B 3Z7","58 Ash Circle","2023-03-28"
"01GWGKK810ZYQNT5CDGZFN887M",501786074,"Martin Fleming",44,"Calgary","M4T 1L1","39 Laurel Boulevard","2023-03-28"
"01GWGKK811NH0GYTX7DZZHA4B4",579080139,"Robert Schmitt",35,"Melbourne","V6M 3W7","50 Sycamore Place","2023-03-28"
